2025-11-04 00:56:35 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 00:56:57 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 00:57:57 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 01:04:43 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 01:04:44 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 01:04:44 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 01:04:44 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 01:04:44 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 01:04:52 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 01:05:25 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 01:13:27 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 01:13:43 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 01:16:13 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 01:22:40 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 02:18:55 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 02:49:05 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 02:55:04 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 02:55:52 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 02:59:36 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 02:59:52 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 03:03:10 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 03:03:15 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 03:03:28 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 03:04:36 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 03:04:38 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 03:04:59 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 03:05:42 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 03:07:56 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 03:08:06 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 03:14:34 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 03:14:43 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:41:23 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:41:55 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:43:46 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:44:32 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:44:44 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:45:26 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:45:30 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:46:18 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:46:34 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:46:35 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:46:49 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:47:28 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:48:44 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 04:52:41 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:09:11 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:09:33 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:09:50 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:10:03 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:11:55 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:12:07 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:14:06 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:14:24 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:14:31 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:15:53 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:16:43 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:18:50 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:19:23 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:19:24 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:19:42 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:20:05 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:22:19 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 11:22:29 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 12:54:24 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 13:12:38 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 16:30:11 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:19:19 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:26:40 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:27:07 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:27:58 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:27:59 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:28:05 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:34:23 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:40:03 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:42:09 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:42:10 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:42:10 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:43:34 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:50:22 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 19:51:23 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 20:15:55 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 20:45:08 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 20:46:10 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 20:53:31 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 20:53:32 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 20:54:44 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 20:57:19 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 20:57:21 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 20:58:37 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:03:37 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:05:04 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:06:45 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:07:54 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:11:35 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:12:33 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:13:27 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:13:45 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:15:03 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:15:04 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:15:19 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:16:01 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:16:44 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:17:04 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:20:38 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:21:41 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:23:50 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:24:08 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:28:42 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:28:53 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:31:02 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:31:12 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:31:47 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:32:19 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:32:51 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:33:06 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:36:17 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:36:34 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:39:21 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:41:57 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:46:37 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 21:58:39 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:02:28 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:09:06 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:10:33 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:14:18 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:17:19 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:17:19 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:17:20 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:38:20 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:47:29 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:47:44 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:50:46 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:56:19 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:56:19 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 22:56:21 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 23:04:01 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 23:04:03 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 23:04:03 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 23:04:03 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 23:07:29 - Lat: 14.6440192, Lon: 121.0318848
2025-11-04 23:34:42 - Lat: 14.6440192, Lon: 121.0318848
2025-11-05 14:57:25 - Lat: 14.6440192, Lon: 121.0318848
2025-11-05 15:04:44 - Lat: 14.6440192, Lon: 121.0318848
2025-11-05 15:05:44 - Lat: 14.6440192, Lon: 121.0318848
2025-11-05 15:24:59 - Lat: 14.6440192, Lon: 121.0318848
2025-11-05 15:28:14 - Lat: 14.6440192, Lon: 121.0318848
2025-11-05 15:29:20 - Lat: 14.6440192, Lon: 121.0318848
2025-11-05 15:49:06 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 08:34:36 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 08:34:52 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 08:35:30 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 08:51:53 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 08:54:47 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 09:01:41 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:20:14 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:23:07 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:23:08 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:23:50 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:25:01 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:25:21 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:27:41 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:29:34 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:30:14 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:32:44 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:32:45 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:32:57 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:33:11 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:33:31 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:33:41 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:37:10 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:37:52 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:37:52 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:39:30 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:39:50 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:41:22 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:42:59 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:43:00 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:45:28 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:45:30 - Lat: 14.6440192, Lon: 121.0318848
2025-11-09 22:46:20 - Lat: 14.6440192, Lon: 121.0318848
