epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,985.301,1.9296,1.66099,1.25093,0.2139,0.14845,0.13864,0.07118,2.05952,1.89285,1.38658,0.000613372,0.000613372,0.000613372
60,1002.05,1.93492,1.69607,1.26808,0.33654,0.22324,0.16916,0.08171,2.02725,1.84988,1.3534,0.000606706,0.000606706,0.000606706
61,1019.36,1.9038,1.64987,1.22819,0.30649,0.17745,0.13703,0.06591,1.99235,1.83875,1.33388,0.00060004,0.00060004,0.00060004
62,1036.1,1.95707,1.64895,1.25122,0.23209,0.2271,0.15296,0.07433,2.02077,1.84964,1.33013,0.000593374,0.000593374,0.000593374
63,1053.19,1.88473,1.61119,1.2427,0.50231,0.24483,0.1825,0.10011,2.01593,1.79425,1.33605,0.000586708,0.000586708,0.000586708
64,1069.66,1.90892,1.66977,1.23213,0.45227,0.25952,0.18543,0.09281,2.01205,1.85703,1.33481,0.000580042,0.000580042,0.000580042
65,1086.35,1.85306,1.5987,1.22621,0.41888,0.19715,0.16314,0.08322,2.04531,1.84618,1.36316,0.000573376,0.000573376,0.000573376
66,1103.39,1.89285,1.62382,1.23288,0.34305,0.17447,0.13662,0.06801,2.03214,1.88099,1.34899,0.00056671,0.00056671,0.00056671
67,1120.26,1.91383,1.64186,1.23031,0.29579,0.17522,0.14472,0.07055,2.03966,1.87799,1.34116,0.000560044,0.000560044,0.000560044
68,1136.89,1.8904,1.65874,1.22182,0.20091,0.23144,0.15709,0.07658,2.03349,1.82844,1.33522,0.000553378,0.000553378,0.000553378
69,1153.74,1.91189,1.60702,1.24212,0.37549,0.16268,0.14263,0.06797,2.04375,1.8688,1.34488,0.000546712,0.000546712,0.000546712
70,1171.39,1.90342,1.62073,1.21394,0.33815,0.12512,0.13573,0.06183,2.04161,1.85098,1.36765,0.000540046,0.000540046,0.000540046
71,1188.08,1.87858,1.62574,1.23501,0.33249,0.22903,0.13979,0.0724,2.0353,1.86656,1.37845,0.00053338,0.00053338,0.00053338
72,1204.7,1.87461,1.60848,1.21079,0.59111,0.14624,0.16762,0.08978,2.03535,1.79328,1.3651,0.000526714,0.000526714,0.000526714
73,1221.56,1.87988,1.56982,1.22252,0.36527,0.30682,0.16183,0.08063,2.02889,1.81872,1.35136,0.000520048,0.000520048,0.000520048
74,1238.86,1.85899,1.60388,1.22115,0.13605,0.31464,0.15714,0.08069,2.0208,1.84268,1.32628,0.000513382,0.000513382,0.000513382
75,1255.79,1.80829,1.61535,1.20198,0.47892,0.13879,0.13057,0.06407,2.02704,1.88558,1.34746,0.000506716,0.000506716,0.000506716
76,1272.65,1.80862,1.65106,1.17933,0.25439,0.16005,0.14512,0.07927,2.03636,1.84521,1.35055,0.00050005,0.00050005,0.00050005
77,1290.07,1.85384,1.57588,1.2131,0.298,0.14399,0.10797,0.05743,2.06098,1.88028,1.34573,0.000493384,0.000493384,0.000493384
78,1306.78,1.84732,1.61022,1.20081,0.23764,0.15058,0.14552,0.0751,1.99771,1.81738,1.30915,0.000486718,0.000486718,0.000486718
79,1323.96,1.86518,1.59896,1.23352,0.3467,0.22035,0.1491,0.08056,2.07014,1.84809,1.37493,0.000480052,0.000480052,0.000480052
80,1341.77,1.84423,1.56475,1.21895,0.41925,0.21955,0.14407,0.08459,2.04112,1.78698,1.34793,0.000473386,0.000473386,0.000473386
81,1358.56,1.86139,1.55962,1.20277,0.37996,0.24981,0.14908,0.08288,1.99685,1.82299,1.32249,0.00046672,0.00046672,0.00046672
82,1375.16,1.84464,1.55629,1.21935,0.33275,0.16039,0.12683,0.06154,2.02668,1.835,1.33891,0.000460054,0.000460054,0.000460054
83,1391.87,1.826,1.55763,1.2028,0.52715,0.23742,0.24057,0.13999,2.01854,1.84903,1.33195,0.000453388,0.000453388,0.000453388
84,1409.38,1.76591,1.56659,1.17549,0.42147,0.27146,0.23874,0.14191,2.03624,1.82254,1.3597,0.000446722,0.000446722,0.000446722
85,1426.1,1.82066,1.52561,1.20458,0.32353,0.26482,0.19421,0.09662,2.04183,1.78369,1.35045,0.000440056,0.000440056,0.000440056
86,1442.86,1.83779,1.5266,1.22886,0.43273,0.19209,0.1487,0.08112,2.01772,1.80157,1.34681,0.00043339,0.00043339,0.00043339
87,1459.88,1.84445,1.59619,1.22455,0.46031,0.19965,0.15352,0.08046,1.98571,1.86713,1.34584,0.000426724,0.000426724,0.000426724
88,1476.94,1.78359,1.48862,1.19602,0.33612,0.25215,0.15746,0.08696,1.99992,1.8568,1.32447,0.000420058,0.000420058,0.000420058
89,1493.68,1.91018,1.52749,1.24895,0.28699,0.17024,0.11747,0.05915,2.08771,1.84646,1.37546,0.000413392,0.000413392,0.000413392
90,1510.34,1.76353,1.54114,1.16893,0.44104,0.19381,0.14516,0.08185,2.00442,1.82769,1.33425,0.000406726,0.000406726,0.000406726
91,1527.97,1.78814,1.48765,1.19815,0.55239,0.22377,0.16198,0.07481,2.01577,1.79597,1.32149,0.00040006,0.00040006,0.00040006
92,1544.7,1.79934,1.48835,1.19031,0.35663,0.29522,0.1645,0.08038,2.04671,1.84891,1.34841,0.000393394,0.000393394,0.000393394
93,1561.48,1.80784,1.51498,1.19958,0.37437,0.23486,0.20583,0.1113,2.01063,1.83941,1.32641,0.000386728,0.000386728,0.000386728
94,1578.34,1.75014,1.4868,1.15344,0.41964,0.17433,0.17471,0.09572,2.01464,1.81899,1.32809,0.000380062,0.000380062,0.000380062
95,1595.5,1.81528,1.50987,1.20211,0.45159,0.15736,0.16058,0.08626,2.02121,1.85625,1.35538,0.000373396,0.000373396,0.000373396
96,1612.17,1.77954,1.46636,1.19718,0.34062,0.16975,0.16162,0.07845,2.04738,1.81665,1.36392,0.00036673,0.00036673,0.00036673
97,1628.84,1.77078,1.4603,1.18426,0.3456,0.27875,0.22363,0.11266,2.05754,1.85093,1.39422,0.000360064,0.000360064,0.000360064
98,1646.86,1.78727,1.46978,1.17537,0.27533,0.20389,0.19,0.08645,2.08023,1.80394,1.38199,0.000353398,0.000353398,0.000353398
99,1663.84,1.80139,1.47016,1.18679,0.31912,0.23357,0.19438,0.10727,2.05735,1.80128,1.36885,0.000346732,0.000346732,0.000346732
100,1680.65,1.77441,1.48221,1.16689,0.4827,0.29452,0.21068,0.10465,2.02375,1.81346,1.35379,0.000340066,0.000340066,0.000340066
101,1697.42,1.7771,1.47364,1.17636,0.33995,0.23962,0.1757,0.09707,2.05274,1.81195,1.35722,0.0003334,0.0003334,0.0003334
102,1714.93,1.73763,1.46334,1.15104,0.5302,0.21835,0.19523,0.09933,2.03985,1.84534,1.33698,0.000326734,0.000326734,0.000326734
103,1731.55,1.78482,1.4645,1.18961,0.38158,0.23576,0.20923,0.11385,2.0353,1.82734,1.35826,0.000320068,0.000320068,0.000320068
104,1748.05,1.72793,1.42904,1.15553,0.32843,0.24416,0.24794,0.12196,2.04615,1.8182,1.35122,0.000313402,0.000313402,0.000313402
105,1764.76,1.76211,1.44607,1.17213,0.49538,0.21759,0.25859,0.14139,2.04593,1.79304,1.36517,0.000306736,0.000306736,0.000306736
106,1782.29,1.72786,1.43593,1.17103,0.46199,0.24784,0.23924,0.12684,2.04831,1.80724,1.38707,0.00030007,0.00030007,0.00030007
107,1799.19,1.73227,1.41592,1.18293,0.37805,0.25346,0.17213,0.0834,2.06647,1.86717,1.37686,0.000293404,0.000293404,0.000293404
108,1815.96,1.74922,1.42994,1.17019,0.34896,0.13286,0.14107,0.06794,2.07315,1.8522,1.38778,0.000286738,0.000286738,0.000286738
109,1833.37,1.71819,1.45284,1.12834,0.38235,0.28946,0.20522,0.10283,2.09342,1.86166,1.38603,0.000280072,0.000280072,0.000280072
